title,restart_idx,obj,D180,lam,k,p,c,tau,stock,th0_log_lam,th0_k,th0_p,th0_c,th0_log_tau,th0_h,rmse,h
WarThunder,0,14.630394578741155,0.3168989286512659,144.7522156372345,0.6376609459619158,0.0001,0.05,2170.1100627997703,339676.77481166593,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.10637235079529259,2.2
WarThunder,1,14.630394580551089,0.3169648904314904,144.79680576018475,0.6377310466257275,0.0001,0.05,2170.0994547151518,339672.0080843006,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.10637235080107499,2.2
WarThunder,2,14.630394581715455,0.3168641647437874,144.73012285157944,0.6376524131508678,0.0001,0.05,2170.146273713417,339658.0509964411,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.10637235079940972,2.2
WarThunder,3,14.63039465301286,0.3168558779891455,144.7269827953379,0.6376933251389927,0.0001,0.05,2170.906797089179,339665.0235136042,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.10637235086568038,2.2
WarThunder,4,14.82406759124071,0.2614110187062751,163.2050717540265,3.0,0.0001,0.05,6996.051616639725,202987.8401220197,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.10707408431477523,2.2
WarThunder,5,14.92965074642404,0.0391858909182188,1.9347480079720365,1.9806352413509072,0.0464436648023848,0.8513798609049162,19941.434040279823,638476.1725021503,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.10745473604666529,2.2
WarThunder,6,14.929650746424045,0.2713686157634841,0.8161664849624354,2.887467869694307,0.5374643424561498,0.509483463186948,19941.43425131757,638476.1737236154,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.10745473604666529,2.2
FF14,0,32.84355579125107,5.599903281272853e-05,41.13775852737598,1.550492318362542,0.0001,0.05,673.2880084795547,111499.30796504032,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.1593770641038249,2.2
FF14,1,32.84355579218195,5.601718901565797e-05,41.137383317955525,1.550458816962517,0.0001,0.05,673.2807603144772,111499.1769688076,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.15937706410583719,2.2
FF14,2,32.84355579276526,5.6006460568424624e-05,41.13749718037805,1.5504759046960874,0.0001,0.05,673.3083599337857,111499.7800623824,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.1593770641077525,2.2
FF14,3,32.84355693825847,5.7053868560012775e-05,41.10713098793652,1.5483340465523894,0.0001,0.05,673.1118380905498,111498.25032770798,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.1593770668823737,2.2
FF14,4,32.84356243473769,5.62707461910644e-05,41.13855783441311,1.550559988429474,0.0001,0.0540185943582489,673.2892979114584,111500.28482877882,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.15937708022034533,2.2
FF14,5,32.8435652490825,5.688789828006145e-05,41.13872872943192,1.550558373732462,0.0001240777203048,0.05,673.2848365394494,111503.19232353424,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.15937708705168568,2.2
FF14,6,32.843570879401994,5.6535979566788605e-05,41.145020549002886,1.5508874560915848,0.0001,0.0590918097016654,673.3157022911356,111501.97299115444,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.1593771006927408,2.2
RimWorld,0,27.745077533832003,0.1441081366108461,45.00363632595364,0.7745666148343562,0.1009743146786919,1.0,3506.297683562421,0.0,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.14648518671050198,2.2
RimWorld,1,27.745077535455987,0.1440798693214598,44.99940403317044,0.7745410028199485,0.1009483810412735,1.0,3506.471272989389,0.0,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.14648518671431143,2.2
RimWorld,2,27.745077640947564,0.1440295365183587,44.96805213124497,0.7743540446589874,0.1009328299335927,1.0,3508.7159181775164,0.0,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.14648518689053158,2.2
RimWorld,3,27.74507860682317,0.1443782172523516,45.161753132758,0.7756059823450492,0.1010843956625214,0.99999998380246,3499.764223732556,0.0,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.14648518776364766,2.2
RimWorld,4,27.745078714498984,0.1439988165219126,44.9908435849534,0.7748197683931302,0.1009464866614862,1.0,3503.5399498184083,0.0,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.14648518894145332,2.2
RimWorld,5,31.36894644602481,0.2024268254325796,1.2248197001321235,2.103982076629709,0.3267072592924751,0.6251985041304067,19999.99999999998,178963.76108645982,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.1557581226314713,2.2
RimWorld,6,31.368946446024825,0.511111241145329,0.4874947145686048,2.1954904984053973,0.5999980412972862,0.8595561469597564,19999.99999999998,179442.7001017417,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.1557581226314713,2.2
Warframe,0,27.657541621518615,0.0460981639806699,24.98522344121662,1.3255599374880895,0.6,0.1058129038216848,562.3533491905381,301716.8153356225,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.14625392326626518,2.2
Warframe,1,27.657541621521357,0.0460982224252028,24.985276287736596,1.3255617743660966,0.6,0.105812982839542,562.3542648505473,301716.8204208751,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.14625392326629022,2.2
Warframe,2,27.657541621524565,0.0460981272650672,24.98511214177662,1.325553482928695,0.6,0.1058127917382434,562.353809280539,301717.1113734046,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.14625392326629477,2.2
Warframe,3,27.657541621545047,0.046098264909219,24.98535984499864,1.3255668388240118,0.6,0.1058129270409292,562.356811807835,301717.0425156931,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.14625392326635378,2.2
Warframe,4,27.65754162156272,0.0460983148555833,24.98524433363308,1.3255578377753952,0.6,0.1058133471488326,562.3517372671874,301716.7709288367,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.1462539232664005,2.2
Warframe,5,27.65754162158541,0.046098414059703,24.98517711246948,1.3255564829274178,0.6,0.1058135796565056,562.3516578799753,301717.13242150855,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.14625392326644043,2.2
Warframe,6,27.65754162480509,0.0461004218270619,24.986539580807577,1.3256411362373224,0.6,0.1058182706698028,562.3503124803291,301716.7468749501,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.14625392327368258,2.2
DbD,0,36.95011425737386,0.0135548257582614,1.5200633506619023,0.3473304066708798,0.1875040267009796,0.05,19999.99999999998,0.0,3.4011973816621555,2.2,0.1,0.1,8.987196820661973,2.2,0.16904745247710046,2.2
DbD,1,36.950114257579216,0.0135549157843551,1.520131763633845,0.3473333984229901,0.1875053772690716,0.05,19999.99999999998,0.0,3.80666248977032,2.5,0.3,0.1,9.615805480084347,2.2,0.16904745247755215,2.2
DbD,2,36.950114494003145,0.0135572312613997,1.5221706144766756,0.3474269589603049,0.1875480432055905,0.05,19999.99999999998,0.0,4.605170185988092,1.4,0.4,0.9,8.294049640102028,2.2,0.16904745297337515,2.2
DbD,3,36.95174348640913,0.013484895001998,1.494877474446182,0.3463562290399657,0.1865118872148397,0.05,19861.838590799285,0.0,3.218875824868201,2.0,0.5,0.15,9.210340371976184,2.2,0.16905117930876548,2.2
DbD,4,36.96005586912052,0.0133236298155876,1.187419706534652,0.3356143657220115,0.0870977170890793,0.106273164566106,19990.510171925427,0.0,2.995732273553991,1.0,0.05,0.9,6.907755278982137,2.2,0.16906958519781817,2.2
DbD,5,36.96512591271453,0.0133923188393288,0.998395746795424,0.3243768004776968,0.0666536557979595,0.1384441007996173,19905.80671394565,0.0,0.4054651081081644,0.3,0.023,0.9,8.699514748210191,2.2,0.16908178342398544,2.2
DbD,6,36.96630310756576,0.0139362944362776,1.0581870887661853,0.329126593385785,0.0096774453551699,0.997024067544546,19999.99999999998,0.0,4.0943445622221,0.8,0.2,0.7,7.600902459542082,2.2,0.16908448056532352,2.2
